OriginLine,Prompt,Response
197,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,83% Human; The Mail: Hello, Have you tried out the exercises? We hope these help you get familiarized with how Maltego works and prepare you for the future investigations. Now it is time for a deeper dive! We've found some interesting reads for you: Share live graph and collaborate in Maltego Export Maltego graph for reporting Navigating Maltego graphs with your keyboard Finally, make sure you check out our collection of articles on Maltego's features as well as latest use cases and tutorials on how to use Maltego to hunt threats, network footprint, conduct POI investigations, and more! If you have any questions, feel free to open a support ticket or reach out to support@maltego.com anytime and our team will be happy to assist you. Happy investigating! Best, The Maltego Team",PLACEHOLDER
200,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Hello, Have you tried out the exercises? We hope these help you get familiarized with how Maltego works and prepare you for the future investigations. Now it is time for a deeper dive! We've found some interesting reads for you: Share live graph and collaborate in Maltego Export Maltego graph for reporting Navigating Maltego graphs with your keyboard Finally, make sure you check out our collection of articles on Maltego's features as well as latest use cases and tutorials on how to use Maltego to hunt threats, network footprint, conduct POI investigations, and more! If you have any questions, feel free to open a support ticket or reach out to support@maltego.com anytime and our team will be happy to assist you. Happy investigating! Best, The Maltego Team",PLACEHOLDER
203,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hello, Have you tried out the exercises? We hope these help you get familiarized with how Maltego works and prepare you for the future investigations. Now it is time for a deeper dive! We've found some interesting reads for you: Share live graph and collaborate in Maltego Export Maltego graph for reporting Navigating Maltego graphs with your keyboard Finally, make sure you check out our collection of articles on Maltego's features as well as latest use cases and tutorials on how to use Maltego to hunt threats, network footprint, conduct POI investigations, and more! If you have any questions, feel free to open a support ticket or reach out to support@maltego.com anytime and our team will be happy to assist you. Happy investigating! Best, The Maltego Team",PLACEHOLDER
206,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Password Reset Hi, We got a request to reset your Overleaf password. Reset password If you ignore this message, your password won't be changed. If you didn't request a password reset, let us know.",PLACEHOLDER
209,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 98,84% GPT; The Mail: Password Reset Hi, We got a request to reset your Overleaf password. Reset password If you ignore this message, your password won't be changed. If you didn't request a password reset, let us know.",PLACEHOLDER
212,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Password Reset Hi, We got a request to reset your Overleaf password. Reset password If you ignore this message, your password won't be changed. If you didn't request a password reset, let us know.",PLACEHOLDER
215,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Password Reset Hi, We got a request to reset your Overleaf password. Reset password If you ignore this message, your password won't be changed. If you didn't request a password reset, let us know.",PLACEHOLDER
218,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Welcome to microsoft. With this account you have the possbility to manage activity on one place - your account, your order history, your devices and much more.",PLACEHOLDER
221,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,48% Human; The Mail: Welcome to microsoft. With this account you have the possbility to manage activity on one place - your account, your order history, your devices and much more.",PLACEHOLDER
224,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Welcome to microsoft. With this account you have the possbility to manage activity on one place - your account, your order history, your devices and much more.",PLACEHOLDER
227,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Welcome to microsoft. With this account you have the possbility to manage activity on one place - your account, your order history, your devices and much more.",PLACEHOLDER
230,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear John Doe, want to learn how ITIL helps oranisations integrate AI automation to the stramline operations, enhance performance and manage increasinglys complex IT enviroments? Join out fascinating upcoming online event: Transforming ITSM with AI and watch speakers from leading organisations share their perspective on the evolution of AITSM. What we will cover: AI in ITSM:new trends, ITIL at work: how to integrate AI automation into ITSM practices. Digital Transofrmation Roadmap, Leveraging GenAI to boost efficiency Driving growth and outpacing competitors with emerging technologies. Do not let this opportunity pass cu by! Register now!",PLACEHOLDER
233,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,97% Human; The Mail: Dear John Doe, want to learn how ITIL helps oranisations integrate AI automation to the stramline operations, enhance performance and manage increasinglys complex IT enviroments? Join out fascinating upcoming online event: Transforming ITSM with AI and watch speakers from leading organisations share their perspective on the evolution of AITSM. What we will cover: AI in ITSM:new trends, ITIL at work: how to integrate AI automation into ITSM practices. Digital Transofrmation Roadmap, Leveraging GenAI to boost efficiency Driving growth and outpacing competitors with emerging technologies. Do not let this opportunity pass cu by! Register now!",PLACEHOLDER
236,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 0% Machine; The Mail: Dear John Doe, want to learn how ITIL helps oranisations integrate AI automation to the stramline operations, enhance performance and manage increasinglys complex IT enviroments? Join out fascinating upcoming online event: Transforming ITSM with AI and watch speakers from leading organisations share their perspective on the evolution of AITSM. What we will cover: AI in ITSM:new trends, ITIL at work: how to integrate AI automation into ITSM practices. Digital Transofrmation Roadmap, Leveraging GenAI to boost efficiency Driving growth and outpacing competitors with emerging technologies. Do not let this opportunity pass cu by! Register now!",PLACEHOLDER
239,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Dear John Doe, want to learn how ITIL helps oranisations integrate AI automation to the stramline operations, enhance performance and manage increasinglys complex IT enviroments? Join out fascinating upcoming online event: Transforming ITSM with AI and watch speakers from leading organisations share their perspective on the evolution of AITSM. What we will cover: AI in ITSM:new trends, ITIL at work: how to integrate AI automation into ITSM practices. Digital Transofrmation Roadmap, Leveraging GenAI to boost efficiency Driving growth and outpacing competitors with emerging technologies. Do not let this opportunity pass cu by! Register now!",PLACEHOLDER
242,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We noticed an issue with your Amazon Prime membership renewal. Your account will be suspended if immediate action is not taken. Please verify your payment details and secure your account by clicking on the link below. Failure to update your information by September 15, 2024, will result in your membership being cancelled. Thank you for your prompt attention. Sincerely, The Amazon Team",PLACEHOLDER
245,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,63% Human; The Mail: Dear Jon Doe, We noticed an issue with your Amazon Prime membership renewal. Your account will be suspended if immediate action is not taken. Please verify your payment details and secure your account by clicking on the link below. Failure to update your information by September 15, 2024, will result in your membership being cancelled. Thank you for your prompt attention. Sincerely, The Amazon Team",PLACEHOLDER
248,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2% Machine; The Mail: Dear Jon Doe, We noticed an issue with your Amazon Prime membership renewal. Your account will be suspended if immediate action is not taken. Please verify your payment details and secure your account by clicking on the link below. Failure to update your information by September 15, 2024, will result in your membership being cancelled. Thank you for your prompt attention. Sincerely, The Amazon Team",PLACEHOLDER
251,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We noticed an issue with your Amazon Prime membership renewal. Your account will be suspended if immediate action is not taken. Please verify your payment details and secure your account by clicking on the link below. Failure to update your information by September 15, 2024, will result in your membership being cancelled. Thank you for your prompt attention. Sincerely, The Amazon Team",PLACEHOLDER
254,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We noticed an issue with your recent payment for your Netflix account. To avoid service interruption, please update your billing information immediately. If you don't act now, your subscription may be canceled. Kindly click on the link below to verify your details and avoid disruptions. It’s quick and easy, so make sure to do this as soon as possible. Thank you for being a valued member of Netflix. Sincerely, The Netflix Billing Team",PLACEHOLDER
257,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,27% Human; The Mail: Dear Jon Doe, We noticed an issue with your recent payment for your Netflix account. To avoid service interruption, please update your billing information immediately. If you don't act now, your subscription may be canceled. Kindly click on the link below to verify your details and avoid disruptions. It’s quick and easy, so make sure to do this as soon as possible. Thank you for being a valued member of Netflix. Sincerely, The Netflix Billing Team",PLACEHOLDER
260,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 6% Machine; The Mail: Dear Jon Doe, We noticed an issue with your recent payment for your Netflix account. To avoid service interruption, please update your billing information immediately. If you don't act now, your subscription may be canceled. Kindly click on the link below to verify your details and avoid disruptions. It’s quick and easy, so make sure to do this as soon as possible. Thank you for being a valued member of Netflix. Sincerely, The Netflix Billing Team",PLACEHOLDER
263,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We noticed an issue with your recent payment for your Netflix account. To avoid service interruption, please update your billing information immediately. If you don't act now, your subscription may be canceled. Kindly click on the link below to verify your details and avoid disruptions. It’s quick and easy, so make sure to do this as soon as possible. Thank you for being a valued member of Netflix. Sincerely, The Netflix Billing Team",PLACEHOLDER
266,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hi Jon Doe, We have noticed unusual activity on your YouTube account, and immediate verification is required to avoid suspension. Please verify your account details immediately to ensure continued access to all your videos and subscriptions. To verify, simply log into your account and update your information through the ""Security Center."" Thank you for your prompt attention. Best regards, The YouTube Support Team",PLACEHOLDER
269,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 98,73% Human; The Mail: Hi Jon Doe, We have noticed unusual activity on your YouTube account, and immediate verification is required to avoid suspension. Please verify your account details immediately to ensure continued access to all your videos and subscriptions. To verify, simply log into your account and update your information through the ""Security Center."" Thank you for your prompt attention. Best regards, The YouTube Support Team",PLACEHOLDER
272,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 4% Machine; The Mail: Hi Jon Doe, We have noticed unusual activity on your YouTube account, and immediate verification is required to avoid suspension. Please verify your account details immediately to ensure continued access to all your videos and subscriptions. To verify, simply log into your account and update your information through the ""Security Center."" Thank you for your prompt attention. Best regards, The YouTube Support Team",PLACEHOLDER
275,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely humnan-Generated; The Mail: Hi Jon Doe, We have noticed unusual activity on your YouTube account, and immediate verification is required to avoid suspension. Please verify your account details immediately to ensure continued access to all your videos and subscriptions. To verify, simply log into your account and update your information through the ""Security Center."" Thank you for your prompt attention. Best regards, The YouTube Support Team",PLACEHOLDER
278,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We are contacting you regarding an urgent security update for your Apple ID. It appears that there has been suspicious activity on your account. To protect your information, we request you to log in immediately and verify your account details to avoid any disruption of your services. Failure to do so may result in restricted access to your Apple services. Thank you for your immediate attention. Sincerely, The Apple Security Team",PLACEHOLDER
281,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 96,31% Human; The Mail: Dear Jon Doe, We are contacting you regarding an urgent security update for your Apple ID. It appears that there has been suspicious activity on your account. To protect your information, we request you to log in immediately and verify your account details to avoid any disruption of your services. Failure to do so may result in restricted access to your Apple services. Thank you for your immediate attention. Sincerely, The Apple Security Team",PLACEHOLDER
284,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 14% Machine; The Mail: Dear Jon Doe, We are contacting you regarding an urgent security update for your Apple ID. It appears that there has been suspicious activity on your account. To protect your information, we request you to log in immediately and verify your account details to avoid any disruption of your services. Failure to do so may result in restricted access to your Apple services. Thank you for your immediate attention. Sincerely, The Apple Security Team",PLACEHOLDER
287,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We are contacting you regarding an urgent security update for your Apple ID. It appears that there has been suspicious activity on your account. To protect your information, we request you to log in immediately and verify your account details to avoid any disruption of your services. Failure to do so may result in restricted access to your Apple services. Thank you for your immediate attention. Sincerely, The Apple Security Team",PLACEHOLDER
290,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hi Jon Doe, We encountered an issue processing your payment for your Spotify Premium subscription, which is set to renew on October 10, 2024. To avoid service disruption, please update your payment details as soon as possible by visiting your account page. If we do not receive your updated information within 48 hours, your account may be suspended. Don’t miss out on your music! Best regards, The Spotify Team",PLACEHOLDER
293,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 98,44% Human; The Mail: Hi Jon Doe, We encountered an issue processing your payment for your Spotify Premium subscription, which is set to renew on October 10, 2024. To avoid service disruption, please update your payment details as soon as possible by visiting your account page. If we do not receive your updated information within 48 hours, your account may be suspended. Don’t miss out on your music! Best regards, The Spotify Team",PLACEHOLDER
296,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 19% Machine; The Mail: Hi Jon Doe, We encountered an issue processing your payment for your Spotify Premium subscription, which is set to renew on October 10, 2024. To avoid service disruption, please update your payment details as soon as possible by visiting your account page. If we do not receive your updated information within 48 hours, your account may be suspended. Don’t miss out on your music! Best regards, The Spotify Team",PLACEHOLDER
299,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hi Jon Doe, We encountered an issue processing your payment for your Spotify Premium subscription, which is set to renew on October 10, 2024. To avoid service disruption, please update your payment details as soon as possible by visiting your account page. If we do not receive your updated information within 48 hours, your account may be suspended. Don’t miss out on your music! Best regards, The Spotify Team",PLACEHOLDER
302,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We have detected suspicious activity on your PayPal account, and immediate action is required to prevent a hold on your account. To ensure your account’s safety, please verify your information by clicking the link below. Failure to act within 24 hours will result in account suspension. We highly recommend that you act quickly to avoid disruption. Thank you for your prompt attention. Sincerely, PayPal Security Team",PLACEHOLDER
305,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 98,35% Human; The Mail: Dear Jon Doe, We have detected suspicious activity on your PayPal account, and immediate action is required to prevent a hold on your account. To ensure your account’s safety, please verify your information by clicking the link below. Failure to act within 24 hours will result in account suspension. We highly recommend that you act quickly to avoid disruption. Thank you for your prompt attention. Sincerely, PayPal Security Team",PLACEHOLDER
308,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 9% Machine; The Mail: Dear Jon Doe, We have detected suspicious activity on your PayPal account, and immediate action is required to prevent a hold on your account. To ensure your account’s safety, please verify your information by clicking the link below. Failure to act within 24 hours will result in account suspension. We highly recommend that you act quickly to avoid disruption. Thank you for your prompt attention. Sincerely, PayPal Security Team",PLACEHOLDER
311,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We have detected suspicious activity on your PayPal account, and immediate action is required to prevent a hold on your account. To ensure your account’s safety, please verify your information by clicking the link below. Failure to act within 24 hours will result in account suspension. We highly recommend that you act quickly to avoid disruption. Thank you for your prompt attention. Sincerely, PayPal Security Team",PLACEHOLDER
314,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We have detected unusual activity on your Microsoft account, and immediate action is required to secure your data. For your protection, we’ve temporarily limited your account access. To avoid further restrictions, please update your account information immediately. Failure to comply by September 30, 2024, may result in permanent suspension of your account. Click here to verify and update your account settings now. Best regards, Microsoft Security Team",PLACEHOLDER
317,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,33% Human; The Mail: Dear Jon Doe, We have detected unusual activity on your Microsoft account, and immediate action is required to secure your data. For your protection, we’ve temporarily limited your account access. To avoid further restrictions, please update your account information immediately. Failure to comply by September 30, 2024, may result in permanent suspension of your account. Click here to verify and update your account settings now. Best regards, Microsoft Security Team",PLACEHOLDER
320,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 4% Machine; The Mail: Dear Jon Doe, We have detected unusual activity on your Microsoft account, and immediate action is required to secure your data. For your protection, we’ve temporarily limited your account access. To avoid further restrictions, please update your account information immediately. Failure to comply by September 30, 2024, may result in permanent suspension of your account. Click here to verify and update your account settings now. Best regards, Microsoft Security Team",PLACEHOLDER
323,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We have detected unusual activity on your Microsoft account, and immediate action is required to secure your data. For your protection, we’ve temporarily limited your account access. To avoid further restrictions, please update your account information immediately. Failure to comply by September 30, 2024, may result in permanent suspension of your account. Click here to verify and update your account settings now. Best regards, Microsoft Security Team",PLACEHOLDER
326,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We have detected unusual activity on your Deutsche Bank account and need your immediate attention. For your security, please verify your account information by following the instructions within 24 hours to avoid suspension. Failure to act may result in restricted access to your account. Please contact support if you require assistance or have any questions. Sincerely, Deutsche Bank Security Team",PLACEHOLDER
329,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 94,37% Human; The Mail: Dear Jon Doe, We have detected unusual activity on your Deutsche Bank account and need your immediate attention. For your security, please verify your account information by following the instructions within 24 hours to avoid suspension. Failure to act may result in restricted access to your account. Please contact support if you require assistance or have any questions. Sincerely, Deutsche Bank Security Team",PLACEHOLDER
332,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 2,02% Machine; The Mail: Dear Jon Doe, We have detected unusual activity on your Deutsche Bank account and need your immediate attention. For your security, please verify your account information by following the instructions within 24 hours to avoid suspension. Failure to act may result in restricted access to your account. Please contact support if you require assistance or have any questions. Sincerely, Deutsche Bank Security Team",PLACEHOLDER
335,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We have detected unusual activity on your Deutsche Bank account and need your immediate attention. For your security, please verify your account information by following the instructions within 24 hours to avoid suspension. Failure to act may result in restricted access to your account. Please contact support if you require assistance or have any questions. Sincerely, Deutsche Bank Security Team",PLACEHOLDER
338,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hi Jon Doe, We’ve detected unusual activity on your Instagram account. To avoid losing access, you must log in to your account immediately and verify your details. If you don’t complete this within 24 hours, your account will be suspended permanently. Please secure your account by clicking here and following the instructions. For support, visit our Help Center. Best regards, The Instagram Security Team",PLACEHOLDER
341,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 97,96% Human; The Mail: Hi Jon Doe, We’ve detected unusual activity on your Instagram account. To avoid losing access, you must log in to your account immediately and verify your details. If you don’t complete this within 24 hours, your account will be suspended permanently. Please secure your account by clicking here and following the instructions. For support, visit our Help Center. Best regards, The Instagram Security Team",PLACEHOLDER
344,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 5% Machine; The Mail: Hi Jon Doe, We’ve detected unusual activity on your Instagram account. To avoid losing access, you must log in to your account immediately and verify your details. If you don’t complete this within 24 hours, your account will be suspended permanently. Please secure your account by clicking here and following the instructions. For support, visit our Help Center. Best regards, The Instagram Security Team",PLACEHOLDER
347,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hi Jon Doe, We’ve detected unusual activity on your Instagram account. To avoid losing access, you must log in to your account immediately and verify your details. If you don’t complete this within 24 hours, your account will be suspended permanently. Please secure your account by clicking here and following the instructions. For support, visit our Help Center. Best regards, The Instagram Security Team",PLACEHOLDER
350,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Hi Jon, We noticed unusual activity on your Tinder account, and to keep it secure, we need you to verify your identity immediately. If you don't verify within the next 24 hours, your account will be locked. Please click the button below to confirm your profile and secure your information. Don’t wait—your matches are waiting for you! Best regards, Tinder Security Team",PLACEHOLDER
353,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 98,57% Human; The Mail: Hi Jon, We noticed unusual activity on your Tinder account, and to keep it secure, we need you to verify your identity immediately. If you don't verify within the next 24 hours, your account will be locked. Please click the button below to confirm your profile and secure your information. Don’t wait—your matches are waiting for you! Best regards, Tinder Security Team",PLACEHOLDER
356,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 4% Machine; The Mail: Hi Jon, We noticed unusual activity on your Tinder account, and to keep it secure, we need you to verify your identity immediately. If you don't verify within the next 24 hours, your account will be locked. Please click the button below to confirm your profile and secure your information. Don’t wait—your matches are waiting for you! Best regards, Tinder Security Team",PLACEHOLDER
359,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely human-Generated; The Mail: Hi Jon, We noticed unusual activity on your Tinder account, and to keep it secure, we need you to verify your identity immediately. If you don't verify within the next 24 hours, your account will be locked. Please click the button below to confirm your profile and secure your information. Don’t wait—your matches are waiting for you! Best regards, Tinder Security Team",PLACEHOLDER
362,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We are writing to inform you about an important update to your Amazon account. Recently, we have enhanced our security measures to better protect your personal information. As part of this update, we require you to verify your account details. Please log in to your Amazon account and follow the instructions provided. Thank you for your cooperation. Best regards, Amazon Customer Service",PLACEHOLDER
365,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 98,28% Human; The Mail: Dear Jon Doe, We are writing to inform you about an important update to your Amazon account. Recently, we have enhanced our security measures to better protect your personal information. As part of this update, we require you to verify your account details. Please log in to your Amazon account and follow the instructions provided. Thank you for your cooperation. Best regards, Amazon Customer Service",PLACEHOLDER
368,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 76% Machine; The Mail: Dear Jon Doe, We are writing to inform you about an important update to your Amazon account. Recently, we have enhanced our security measures to better protect your personal information. As part of this update, we require you to verify your account details. Please log in to your Amazon account and follow the instructions provided. Thank you for your cooperation. Best regards, Amazon Customer Service",PLACEHOLDER
371,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We are writing to inform you about an important update to your Amazon account. Recently, we have enhanced our security measures to better protect your personal information. As part of this update, we require you to verify your account details. Please log in to your Amazon account and follow the instructions provided. Thank you for your cooperation. Best regards, Amazon Customer Service",PLACEHOLDER
374,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description; The Mail: Dear Jon Doe, We hope you are enjoying your Netflix experience. We are writing to inform you that there was an issue processing your recent payment. To ensure uninterrupted service, please update your payment information at your earliest convenience. You can do this by logging into your account and following the instructions provided. Thank you for your prompt attention to this matter. Best regards, Netflix Customer Service",PLACEHOLDER
377,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector ChatGPT-DetDetector categorized it as 99,31% Human; The Mail: Dear Jon Doe, We hope you are enjoying your Netflix experience. We are writing to inform you that there was an issue processing your recent payment. To ensure uninterrupted service, please update your payment information at your earliest convenience. You can do this by logging into your account and following the instructions provided. Thank you for your prompt attention to this matter. Best regards, Netflix Customer Service",PLACEHOLDER
380,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector FastDetectGPT categorized it as 45% Machine; The Mail: Dear Jon Doe, We hope you are enjoying your Netflix experience. We are writing to inform you that there was an issue processing your recent payment. To ensure uninterrupted service, please update your payment information at your earliest convenience. You can do this by logging into your account and following the instructions provided. Thank you for your prompt attention to this matter. Best regards, Netflix Customer Service",PLACEHOLDER
383,"on a scale 0% to 100% in 1% increments how would you categorize the following Email as phishing? give only one exact estimation value, no description;consider as additional information, that the MGT-Detector Binoculars categorized it as most likely ai-Generated; The Mail: Dear Jon Doe, We hope you are enjoying your Netflix experience. We are writing to inform you that there was an issue processing your recent payment. To ensure uninterrupted service, please update your payment information at your earliest convenience. You can do this by logging into your account and following the instructions provided. Thank you for your prompt attention to this matter. Best regards, Netflix Customer Service",PLACEHOLDER
